"country","firearmsRate","totalFirearms","pop2020"
"Nigeria","3.2000",6154000,"206139.5890"
"Djibouti","3.1000",28000,988
"Moldova",3,121000,"4033.9630"
"Laos",3,215000,"7275.5600"
"Mauritania","2.8000",120000,"4649.6580"
"Kyrgyzstan","2.8000",171000,"6524.1950"
"Zimbabwe","2.8000",455000,"14862.9240"
"Kazakhstan","2.8000",504000,"18776.7070"
"Northern Mariana Islands","2.6000",1000,"57.5590"
"Aruba","2.6000",3000,"106.7660"
"Curacao","2.6000",4000,"164.0930"
"Haiti","2.6000",291000,"11402.5280"
"Netherlands","2.6000",442000,"17134.8720"
"Romania","2.6000",506000,"19237.6910"
"French Polynesia","2.5000",7000,"280.9080"
"Poland","2.5000",968000,"37846.6110"
"Republic of the Congo","2.4000",119000,"5518.0870"
"Ecuador","2.4000",402000,"17643.0540"
"Sri Lanka","2.4000",494000,"21413.2490"
"Liberia","2.1000",97000,"5057.6810"
"Cuba","2.1000",234000,"11326.6160"
"Cameroon","2.1000",510000,"26545.8630"
"Algeria","2.1000",877000,"43851.0440"
"Bolivia",2,218000,"11673.0210"
"Burundi",2,238000,"11890.7840"
"Senegal",2,323000,"16743.9270"
"Peru",2,633000,"32971.8540"
"Central African Republic","1.8000",94000,"4829.7670"
"Myanmar","1.6000",877000,"54409.8000"
"Vietnam","1.6000",1562000,"97338.5790"
"Comoros","1.5000",12000,"869.6010"
"Guinea-Bissau","1.5000",29000,"1968.0010"
"Nepal","1.5000",444000,"29136.8080"
"Kenya","1.5000",750000,"53771.2960"
"Brunei","1.4000",6000,"437.4790"
"Tuvalu","1.2000",100,"11.7920"
"DR Congo","1.2000",946000,"89561.4030"
"Palestine","1.1000",56000,"5101.4140"
"Tunisia","1.1000",123000,"11818.6190"
"Mali","1.1000",206000,"20250.8330"
"Papua New Guinea",1,79000,"8947.0240"
"Guinea",1,130000,"13132.7950"
"Chad",1,151000,"16425.8640"
"Zambia","0.9000",158000,"18383.9550"
"Burkina Faso","0.9000",175000,"20903.2730"
"British Virgin Islands","0.8000",300,"30.2310"
"Kiribati","0.8000",900,"119.4490"
"Bhutan","0.8000",6000,"771.6080"
"Togo","0.8000",58000,"8278.7240"
"Uganda","0.8000",331000,"45741.0070"
"Tanzania","0.8000",427000,"59734.2180"
"American Samoa","0.7000",400,"55.1910"
"Micronesia","0.7000",700,"115.0230"
"Madagascar","0.7000",168000,"27691.0180"
"Malaysia","0.7000",217000,"32365.9990"
"Palau","0.5000",100,"18.0940"
"Marshall Islands","0.5000",300,"59.1900"
"Fiji","0.5000",5000,"896.4450"
"Sierra Leone","0.5000",35000,"7976.9830"
"Rwanda","0.5000",66000,"12952.2180"
"Niger","0.5000",117000,"24206.6440"
"Eritrea","0.4000",23000,"3546.4210"
"Turkmenistan","0.4000",23000,"6031.2000"
"Tajikistan","0.4000",37000,"9537.6450"
"Uzbekistan","0.4000",127000,"33469.2030"
"Ethiopia","0.4000",377000,"114963.5880"
"Bangladesh","0.4000",659000,"164689.3830"
"Timor-Leste","0.3000",3000,"1318.4450"
"Singapore","0.3000",20000,"5850.3420"
"Benin","0.3000",33000,"12123.2000"
"Malawi","0.3000",47000,"19129.9520"
"North Korea","0.3000",76000,"25778.8160"
"Japan","0.3000",377000,"126476.4610"
"Solomon Islands","0.2000",1000,"686.8840"
"South Korea","0.2000",79000,"51269.1850"
"Taiwan",0,10000,"23816.7750"
"Indonesia",0,82000,"273523.6150"
